Trial,Strategy,Threshold_Dist,Step,Adoption_Fraction,Final_Fraction,TimeToConverge
9,Random,Fixed_0.2,4,0.0905,1.0,11
9,Random,Fixed_0.2,5,0.113,1.0,11
9,Random,Fixed_0.2,6,0.1515,1.0,11
9,Random,Fixed_0.2,7,0.2075,1.0,11
9,Random,Fixed_0.2,8,0.3215,1.0,11
9,Random,Fixed_0.2,9,0.5815,1.0,11
9,Random,Fixed_0.2,10,0.955,1.0,11
9,Random,Fixed_0.2,11,1.0,1.0,11
9,Degree,Fixed_0.2,0,0.01,1.0,4
9,Degree,Fixed_0.2,1,0.4705,1.0,4
9,Degree,Fixed_0.2,2,0.8395,1.0,4
9,Degree,Fixed_0.2,3,0.9965,1.0,4
9,Degree,Fixed_0.2,4,1.0,1.0,4
9,Betweenness,Fixed_0.2,0,0.01,1.0,4
9,Betweenness,Fixed_0.2,1,0.4705,1.0,4
9,Betweenness,Fixed_0.2,2,0.8385,1.0,4
9,Betweenness,Fixed_0.2,3,0.9985,1.0,4
9,Betweenness,Fixed_0.2,4,1.0,1.0,4
0,Random,Uniform,0,0.01,0.058,13
0,Random,Uniform,1,0.018,0.058,13
0,Random,Uniform,2,0.0265,0.058,13
0,Random,Uniform,3,0.033,0.058,13
0,Random,Uniform,4,0.0375,0.058,13
0,Random,Uniform,5,0.0415,0.058,13
0,Random,Uniform,6,0.043,0.058,13
0,Random,Uniform,7,0.0485,0.058,13
0,Random,Uniform,8,0.05,0.058,13
0,Random,Uniform,9,0.0505,0.058,13
0,Random,Uniform,10,0.051,0.058,13
0,Random,Uniform,11,0.055,0.058,13
0,Random,Uniform,12,0.057,0.058,13
0,Random,Uniform,13,0.058,0.058,13
0,Random,Uniform,14,0.058,0.058,13
0,Random,Uniform,15,0.058,0.058,13
0,Random,Uniform,16,0.058,0.058,13
0,Random,Uniform,17,0.058,0.058,13
0,Random,Uniform,18,0.058,0.058,13
0,Random,Uniform,19,0.058,0.058,13
0,Random,Uniform,20,0.058,0.058,13
0,Random,Uniform,21,0.058,0.058,13
0,Random,Uniform,22,0.058,0.058,13
0,Random,Uniform,23,0.058,0.058,13
0,Random,Uniform,24,0.058,0.058,13
0,Random,Uniform,25,0.058,0.058,13
0,Random,Uniform,26,0.058,0.058,13
0,Random,Uniform,27,0.058,0.058,13
0,Random,Uniform,28,0.058,0.058,13
0,Random,Uniform,29,0.058,0.058,13
0,Random,Uniform,30,0.058,0.058,13
0,Random,Uniform,31,0.058,0.058,13
0,Random,Uniform,32,0.058,0.058,13
0,Random,Uniform,33,0.058,0.058,13
0,Random,Uniform,34,0.058,0.058,13
0,Random,Uniform,35,0.058,0.058,13
0,Random,Uniform,36,0.058,0.058,13
0,Random,Uniform,37,0.058,0.058,13
0,Random,Uniform,38,0.058,0.058,13
0,Random,Uniform,39,0.058,0.058,13
0,Random,Uniform,40,0.058,0.058,13
0,Random,Uniform,41,0.058,0.058,13
0,Random,Uniform,42,0.058,0.058,13
0,Random,Uniform,43,0.058,0.058,13
0,Random,Uniform,44,0.058,0.058,13
0,Random,Uniform,45,0.058,0.058,13
0,Random,Uniform,46,0.058,0.058,13
0,Random,Uniform,47,0.058,0.058,13
0,Random,Uniform,48,0.058,0.058,13
0,Random,Uniform,49,0.058,0.058,13
0,Degree,Uniform,0,0.01,0.436,15
0,Degree,Uniform,1,0.182,0.436,15
0,Degree,Uniform,2,0.271,0.436,15
0,Degree,Uniform,3,0.326,0.436,15
0,Degree,Uniform,4,0.3695,0.436,15
0,Degree,Uniform,5,0.3925,0.436,15
0,Degree,Uniform,6,0.4045,0.436,15
0,Degree,Uniform,7,0.416,0.436,15
0,Degree,Uniform,8,0.422,0.436,15
0,Degree,Uniform,9,0.4235,0.436,15
0,Degree,Uniform,10,0.424,0.436,15
0,Degree,Uniform,11,0.4245,0.436,15
0,Degree,Uniform,12,0.4255,0.436,15
0,Degree,Uniform,13,0.43,0.436,15
0,Degree,Uniform,14,0.4335,0.436,15
0,Degree,Uniform,15,0.436,0.436,15
0,Degree,Uniform,16,0.436,0.436,15
0,Degree,Uniform,17,0.436,0.436,15
0,Degree,Uniform,18,0.436,0.436,15
0,Degree,Uniform,19,0.436,0.436,15
0,Degree,Uniform,20,0.436,0.436,15
0,Degree,Uniform,21,0.436,0.436,15
0,Degree,Uniform,22,0.436,0.436,15
0,Degree,Uniform,23,0.436,0.436,15
0,Degree,Uniform,24,0.436,0.436,15
0,Degree,Uniform,25,0.436,0.436,15
0,Degree,Uniform,26,0.436,0.436,15
