Trial,Strategy,Threshold_Dist,Final_Fraction,TimeToConverge
29,Betweenness,Beta_Low,0.9955,7
29,Random,Beta_Mid,0.011,1
29,Degree,Beta_Mid,0.1115,10
29,Betweenness,Beta_Mid,0.108,12
29,Random,Beta_High,0.01,0
29,Degree,Beta_High,0.012,1
29,Betweenness,Beta_High,0.013,1
29,Random,Normal,0.0135,1
29,Degree,Normal,0.9955,16
29,Betweenness,Normal,0.9955,16
29,Random,Constant_0.4,0.01,0
29,Degree,Constant_0.4,0.0165,2
29,Betweenness,Constant_0.4,0.021,2
30,Random,Fixed_0.2,0.013,2
30,Degree,Fixed_0.2,0.9955,9
30,Betweenness,Fixed_0.2,0.9955,9
30,Random,Uniform,0.556,50
30,Degree,Uniform,0.632,29
30,Betweenness,Uniform,0.6305,31
30,Random,Beta_Low,0.087,16
30,Degree,Beta_Low,0.9955,7
30,Betweenness,Beta_Low,0.9955,7
30,Random,Beta_Mid,0.0115,1
30,Degree,Beta_Mid,0.039,3
30,Betweenness,Beta_Mid,0.045,3
30,Random,Beta_High,0.01,0
30,Degree,Beta_High,0.011,1
30,Betweenness,Beta_High,0.013,1
30,Random,Normal,0.013,2
30,Degree,Normal,0.9535,20
30,Betweenness,Normal,0.9535,16
30,Random,Constant_0.4,0.0105,1
30,Degree,Constant_0.4,0.0165,2
30,Betweenness,Constant_0.4,0.021,2
31,Random,Fixed_0.2,0.011,1
31,Degree,Fixed_0.2,0.9955,9
31,Betweenness,Fixed_0.2,0.9955,9
31,Random,Uniform,0.196,25
31,Degree,Uniform,0.677,30
31,Betweenness,Uniform,0.68,33
31,Random,Beta_Low,0.0225,6
31,Degree,Beta_Low,0.9955,7
31,Betweenness,Beta_Low,0.9955,7
31,Random,Beta_Mid,0.011,1
31,Degree,Beta_Mid,0.049,4
31,Betweenness,Beta_Mid,0.0555,4
31,Random,Beta_High,0.01,0
31,Degree,Beta_High,0.0125,1
31,Betweenness,Beta_High,0.014,1
31,Random,Normal,0.016,1
31,Degree,Normal,0.9955,17
31,Betweenness,Normal,0.9955,15
31,Random,Constant_0.4,0.01,0
31,Degree,Constant_0.4,0.0165,2
31,Betweenness,Constant_0.4,0.021,2
32,Random,Fixed_0.2,0.0105,1
32,Degree,Fixed_0.2,0.9955,9
32,Betweenness,Fixed_0.2,0.9955,9
32,Random,Uniform,0.199,28
32,Degree,Uniform,0.847,36
32,Betweenness,Uniform,0.8415,30
32,Random,Beta_Low,0.9955,15
32,Degree,Beta_Low,0.9955,8
32,Betweenness,Beta_Low,0.9955,8
32,Random,Beta_Mid,0.0115,1
32,Degree,Beta_Mid,0.043,4
32,Betweenness,Beta_Mid,0.047,4
32,Random,Beta_High,0.0105,1
32,Degree,Beta_High,0.0115,1
32,Betweenness,Beta_High,0.0125,1
32,Random,Normal,0.0155,2
32,Degree,Normal,0.9955,19
32,Betweenness,Normal,0.9955,21
32,Random,Constant_0.4,0.011,1
32,Degree,Constant_0.4,0.0165,2
32,Betweenness,Constant_0.4,0.021,2
33,Random,Fixed_0.2,0.0125,4
33,Degree,Fixed_0.2,0.9955,9
33,Betweenness,Fixed_0.2,0.9955,9
33,Random,Uniform,0.0405,8
33,Degree,Uniform,0.8765,47
33,Betweenness,Uniform,0.861,44
33,Random,Beta_Low,0.1025,24
33,Degree,Beta_Low,0.9955,7
33,Betweenness,Beta_Low,0.9955,7
33,Random,Beta_Mid,0.01,0
33,Degree,Beta_Mid,0.0405,3
33,Betweenness,Beta_Mid,0.045,3
