Trial,Strategy,Threshold_Dist,Final_Fraction,TimeToConverge
20,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
20,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
21,Random,Fixed_0.2,1.0,7
21,Degree,Fixed_0.2,1.0,4
21,Betweenness,Fixed_0.2,1.0,4
21,Random,Uniform,0.0835,10
21,Degree,Uniform,0.5185,22
21,Betweenness,Uniform,0.516,21
21,Random,Beta_Low,1.0,14
21,Degree,Beta_Low,1.0,6
21,Betweenness,Beta_Low,1.0,6
21,Random,Beta_Mid,0.027,6
21,Degree,Beta_Mid,0.3565,15
21,Betweenness,Beta_Mid,0.3295,12
21,Random,"Beta_High, Normal, Constant_0.4",0.0105,1
21,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
21,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
22,Random,Fixed_0.2,1.0,12
22,Degree,Fixed_0.2,1.0,4
22,Betweenness,Fixed_0.2,1.0,4
22,Random,Uniform,0.038,7
22,Degree,Uniform,0.5755,17
22,Betweenness,Uniform,0.574,17
22,Random,Beta_Low,1.0,19
22,Degree,Beta_Low,1.0,6
22,Betweenness,Beta_Low,1.0,6
22,Random,Beta_Mid,0.018,2
22,Degree,Beta_Mid,0.3,14
22,Betweenness,Beta_Mid,0.28,10
22,Random,"Beta_High, Normal, Constant_0.4",0.012,1
22,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
22,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
23,Random,Fixed_0.2,1.0,7
23,Degree,Fixed_0.2,1.0,4
23,Betweenness,Fixed_0.2,1.0,4
23,Random,Uniform,0.056,9
23,Degree,Uniform,0.4145,9
23,Betweenness,Uniform,0.4155,9
23,Random,Beta_Low,1.0,23
23,Degree,Beta_Low,1.0,7
23,Betweenness,Beta_Low,1.0,7
23,Random,Beta_Mid,0.0145,2
23,Degree,Beta_Mid,0.3515,11
23,Betweenness,Beta_Mid,0.352,13
23,Random,"Beta_High, Normal, Constant_0.4",0.015,2
23,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
23,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
24,Random,Fixed_0.2,1.0,10
24,Degree,Fixed_0.2,1.0,4
24,Betweenness,Fixed_0.2,1.0,4
24,Random,Uniform,0.096,11
24,Degree,Uniform,0.4495,9
24,Betweenness,Uniform,0.4545,12
24,Random,Beta_Low,1.0,13
24,Degree,Beta_Low,1.0,6
24,Betweenness,Beta_Low,1.0,6
24,Random,Beta_Mid,0.0215,6
24,Degree,Beta_Mid,0.325,13
24,Betweenness,Beta_Mid,0.323,13
24,Random,"Beta_High, Normal, Constant_0.4",0.011,1
24,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
24,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
25,Random,Fixed_0.2,1.0,13
25,Degree,Fixed_0.2,1.0,4
25,Betweenness,Fixed_0.2,1.0,4
25,Random,Uniform,0.044,7
25,Degree,Uniform,0.49,11
25,Betweenness,Uniform,0.477,11
25,Random,Beta_Low,1.0,17
25,Degree,Beta_Low,1.0,6
25,Betweenness,Beta_Low,1.0,6
25,Random,Beta_Mid,0.0135,1
25,Degree,Beta_Mid,0.3255,14
25,Betweenness,Beta_Mid,0.3125,11
25,Random,"Beta_High, Normal, Constant_0.4",0.014,1
25,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
25,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
26,Random,Fixed_0.2,1.0,10
26,Degree,Fixed_0.2,1.0,4
26,Betweenness,Fixed_0.2,1.0,4
26,Random,Uniform,0.0505,4
26,Degree,Uniform,0.49,12
26,Betweenness,Uniform,0.4685,11
26,Random,Beta_Low,1.0,16
26,Degree,Beta_Low,1.0,6
26,Betweenness,Beta_Low,1.0,6
26,Random,Beta_Mid,0.023,3
26,Degree,Beta_Mid,0.3455,13
26,Betweenness,Beta_Mid,0.349,14
26,Random,"Beta_High, Normal, Constant_0.4",0.0105,1
26,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
26,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
27,Random,Fixed_0.2,1.0,12
27,Degree,Fixed_0.2,1.0,4
27,Betweenness,Fixed_0.2,1.0,4
27,Random,Uniform,0.1325,16
27,Degree,Uniform,0.467,11
27,Betweenness,Uniform,0.4725,14
27,Random,Beta_Low,1.0,12
